Original,R2,Modelo,RMSE,Iteración_independiente
exp(-((x0 + 1) ** 2)) / (1.2 + (x1 - 2.5) ** 2),0.9469181198242292,0.123*exp(sin(1.484*X1) + sin(0.631*X2)**4) - 0.075,0.0469159164658034,6
(exp(-x1) * x1 ** 3 * cos(x1) * sin(x1) * (cos(x1) * (sin(x1) ** 2) - 1)),0.9759473120058152,-2.529425*X1*exp(-0.657*X1)*sin(0.383*X1)**2*sin(1.992*X1) - 0.002,0.0469756908943918,6
(exp(-x1) * x1 ** 3 * cos(x1) * sin(x1) * (cos(x1) * (sin(x1) ** 2) - 1) * (x2 - 5)),0.9186182144410532,7.787664*X1*exp(-0.588*X1)*sin(0.355*X1)*sin(1.99*X1)*cos(0.305*X2) + 0.001,0.2867425256392159,6
10 / (5 + (x1 - 3) ** 2 + (x2 - 3) ** 2 + (x3 - 3) ** 2 + (x4 - 3) ** 2 + (x5 - 3) ** 2),0.7096321789592215,0.206*(sin(0.523*X1) + sin(0.519*X4))*(sin(0.52*X3) + sin(0.523*X5)) + 0.216,0.0998521494888105,6
30 * ((x1-1)*(x3-1) / ((x2**2) * (x1 - 10))),0.7698833545158998,-1.051*cos(0.977*X1 - 0.952*X3) + 1.051*cos(-0.983*X1 + cos(0.792*X3) + exp(-1.388*X3)) - 0.003,0.4259877756309106,6
6 * sin(x1) * cos(x2),0.9999954642486998,5.996*sin(1.0*X1)*cos(1.0*X2) + 5.996*cos(1.36612021857923*sin(0.107*X1)/X1) - 5.933,0.0063874268047343,6
(x1 - 3) * (x2 - 3) + 2 * sin((x1 - 4) * (x2 - 4)),0.906651594803535,-13.322*(0.274*X2 - cos(exp(-0.487*X1)))*sin(0.853*X1) + 0.358,1.61900176357574,6
((x1 - 3) ** 4 + (x2 - 3) ** 3 - (x2 - 3)) / ((x2 - 2) ** 4 + 10),0.8636698464308699,3.739*((0.145*X2 + cos(0.28*X2))**2 - sin(0.526*X1))**2 - 0.425,0.9377426533481136,6
exp(-((x0 + 1) ** 2)) / (1.2 + (x1 - 2.5) ** 2),0.9475760718293008,0.021*exp(exp(sin(0.627*X2)) + sin(1.48*X1)) - 0.072,0.0466228420226271,7
(exp(-x1) * x1 ** 3 * cos(x1) * sin(x1) * (cos(x1) * (sin(x1) ** 2) - 1)),0.9707990724699286,0.003 - 1.4*exp(-0.039204*X1**2)*sin(0.41*X1)**2*sin(1.993*X1),0.0517595741994656,7
(exp(-x1) * x1 ** 3 * cos(x1) * sin(x1) * (cos(x1) * (sin(x1) ** 2) - 1) * (x2 - 5)),0.5081401836591055,-0.419650134*X1*X2*exp(-0.339*X1)*sin(1.978*X1) + 1.583*sin(1.978*X1) - 0.042,0.7049329761443902,7
10 / (5 + (x1 - 3) ** 2 + (x2 - 3) ** 2 + (x3 - 3) ** 2 + (x4 - 3) ** 2 + (x5 - 3) ** 2),0.7096070417761022,0.206*(sin(0.523*X1) + sin(0.519*X4))*(sin(0.52*X3) + sin(0.523*X5)) + 0.216,0.0998564451439759,7
30 * ((x1-1)*(x3-1) / ((x2**2) * (x1 - 10))),0.7384703433397927,0.412596954*(X1 - X3)**2 - 0.506*cos(1.259*X1 + 0.452229299363057*X1/X2 + 1.546*X3) - 0.485,0.4541320751591738,7
6 * sin(x1) * cos(x2),0.9999786958794388,2.996*sin(0.998*X1 + 1.002*X2) + 2.996*sin(1.002*X1 - 1.002*X2) + 0.002,0.013845327649858,7
(x1 - 3) * (x2 - 3) + 2 * sin((x1 - 4) * (x2 - 4)),0.9466433948208078,11.92*(0.416*X1 - 0.449*X2 + cos(0.416*X1))*sin(cos(exp(0.034225*X1**2))) + 0.659,1.224018068792072,7
((x1 - 3) ** 4 + (x2 - 3) ** 3 - (x2 - 3)) / ((x2 - 2) ** 4 + 10),0.4693690649877435,0.338*exp(exp(cos(0.991*X1 + 0.18*X2))) - 0.511,1.850053528032627,7
exp(-((x0 + 1) ** 2)) / (1.2 + (x1 - 2.5) ** 2),0.9849853939813308,0.155*exp(sin(1.45*X1) + sin(cos(exp(cos(0.318*X1))))*cos(1.251*X2)) - 0.059,0.0249518648531976,8
(exp(-x1) * x1 ** 3 * cos(x1) * sin(x1) * (cos(x1) * (sin(x1) ** 2) - 1)),0.94105725121881,(0.035*exp(cos(0.965*X1)) - 0.187*sin(2.022*X1) - 0.187*cos(1.514*X1))*exp(-cos(0.965*X1)),0.0735411400084649,8
(exp(-x1) * x1 ** 3 * cos(x1) * sin(x1) * (cos(x1) * (sin(x1) ** 2) - 1) * (x2 - 5)),0.0632933354843277,0.941 - 1.883*cos(0.948*X1 + exp(0.028224*X2**2*sin(0.224*X2)**2))**2,0.972812279307906,8
10 / (5 + (x1 - 3) ** 2 + (x2 - 3) ** 2 + (x3 - 3) ** 2 + (x4 - 3) ** 2 + (x5 - 3) ** 2),0.6593520016263578,0.864*sin(0.509*X1)*sin(0.507*X3)*sin(0.508*X4)*sin(0.511*X5) + 0.393,0.108152407151828,8
30 * ((x1-1)*(x3-1) / ((x2**2) * (x1 - 10))),0.7234076679672365,-0.57*cos(1.427*X1 - 1.393*X3) - 0.57*cos(1.572*X1 + 0.052*X2 + 1.498*X3) + 0.033,0.4670264026576302,8
