Original,R2,Modelo,RMSE,Iteración_independiente
Cain * (-1 * exp(-2 * t) + 8.455 * exp(-5 * t) + 12.3315 * exp(-6 * t) - 20.045 * exp(-5.7 * t) + 0.26),0.9997645131826296,0.27579944*X1*X2*exp(-0.391*X2) - 0.1587*X1*exp(-1.371*X2) + 0.001,0.0036049022366796,13
2 * Cain / (1 + exp(-5.7 * t)),0.999999903320662,(-4.009725*X2*(1.021*X1 - 1.241*X2 + sin(1.772*X2)) + (1.999431*X1 - 0.001)*exp(6.283*X2))*exp(-6.283*X2),0.0006661148375047,14
Cain * (4.1104 * exp(-6 * t) + 0.2163 - 4.3267 * exp(-5.7 * t)),0.9999534939414868,0.21907875*X1 - 0.00630440242469603*X1/X2**3,0.001473091360613,14
Cain * (-8.455 * exp(-5 * t) - 16.442 * exp(-6 * t) + 24.724 * exp(-5.7 * t) + 0.173),0.9988188589335584,0.17248*X1 - 0.44*exp(0.416*X1 - 3.565*X2) + 0.002,0.0065427818191288,14
Cain * (-1 * exp(-2 * t) + 8.455 * exp(-5 * t) + 12.3315 * exp(-6 * t) - 20.045 * exp(-5.7 * t) + 0.26),0.998450784294587,0.296835*X1*sin(0.593*X2) - 0.03339*X1 + 0.09513*X2*exp(sin(cos(0.936*X2))) - 0.139,0.0092447785922605,14
2 * Cain / (1 + exp(-5.7 * t)),0.999961414614194,1.999525*X1 - 0.034617231*X2**2 + 0.14542*X2 - 7.271*cos(9.927332496e-5*X2**6) + 7.135,0.0131885112148152,15
Cain * (4.1104 * exp(-6 * t) + 0.2163 - 4.3267 * exp(-5.7 * t)),0.9999534612732416,0.2178*X1 - 0.00628763545881491*X1/X2**3,0.001473091360613,15
Cain * (-8.455 * exp(-5 * t) - 16.442 * exp(-6 * t) + 24.724 * exp(-5.7 * t) + 0.173),0.9988136244390566,0.178851606901725*X1 - 0.0236432734557266*X1/X2**2,0.0065702073382214,15
Cain * (-1 * exp(-2 * t) + 8.455 * exp(-5 * t) + 12.3315 * exp(-6 * t) - 20.045 * exp(-5.7 * t) + 0.26),0.998580001944635,-0.04095*X1*sin(0.232334240655959/X2**3) + 0.255892*X1*sin(0.63*X2) + 0.005,0.0088545847783397,15
2 * Cain / (1 + exp(-5.7 * t)),0.9999953550932325,2.00305*X1 - 0.0114529637455462*X1/X2**3 - 0.001,0.0045767845925936,16
Cain * (4.1104 * exp(-6 * t) + 0.2163 - 4.3267 * exp(-5.7 * t)),0.9999922087481468,0.216216*X1 - 0.124552661381653*X1*exp(-3.293*X2)/X2,0.0006085461946394,16
Cain * (-8.455 * exp(-5 * t) - 16.442 * exp(-6 * t) + 24.724 * exp(-5.7 * t) + 0.173),0.999888984912582,(-0.4015*X1 + 0.135371565*X2**2 + (0.1752*X1 - 0.004)*exp(3.056*X2))*exp(-3.056*X2),0.0020053288418459,16
Cain * (-1 * exp(-2 * t) + 8.455 * exp(-5 * t) + 12.3315 * exp(-6 * t) - 20.045 * exp(-5.7 * t) + 0.26),0.9969579230111412,-0.0310077365602063*X1*sin(0.104*X1)/X2**2 + 2.552*sin(0.104*X1)*sin(0.633*X2) - 0.008,0.0129501371965478,16
2 * Cain / (1 + exp(-5.7 * t)),0.9999997863955982,2.005425*X1 - 8.49504384292794*exp(-3.887*X2)*sin(0.045*X1)/X2,0.0009923010386741,17
Cain * (4.1104 * exp(-6 * t) + 0.2163 - 4.3267 * exp(-5.7 * t)),0.9999988541644232,0.2163*X1 - 0.490486*X1*exp(-4.71*X2),0.0002359352957278,17
Cain * (-8.455 * exp(-5 * t) - 16.442 * exp(-6 * t) + 24.724 * exp(-5.7 * t) + 0.173),0.9990446855425346,0.177525*X1 - 0.0263304790110739*X1*exp(-0.201*X2)/X2**2,0.0058933855257546,17
Cain * (-1 * exp(-2 * t) + 8.455 * exp(-5 * t) + 12.3315 * exp(-6 * t) - 20.045 * exp(-5.7 * t) + 0.26),0.9996566230988378,0.12740637*X1*X2 + 0.10283*X1*sin(1.197*X2) - 0.08177*X1 + 0.002,0.0043564095674591,17
2 * Cain / (1 + exp(-5.7 * t)),0.9999932568083032,2.008335*X1 + 0.126945*X1/((0.466*X1 - 9.412624*X2**2)*cos(0.434*X2)) - 0.005,0.005520929763467,18
Cain * (4.1104 * exp(-6 * t) + 0.2163 - 4.3267 * exp(-5.7 * t)),0.9999937193487392,0.216056*X1 - 0.0233670129266946*X1*exp(-1.103*X2)*cos(0.922*X2)/X2**2,0.0005579720189269,18
Cain * (-8.455 * exp(-5 * t) - 16.442 * exp(-6 * t) + 24.724 * exp(-5.7 * t) + 0.173),0.999279879361712,X1*(0.1691*X2**2 + 0.026147174034695*X2 - 0.0366573803918123)/X2**2,0.0051108717255305,18
Cain * (-1 * exp(-2 * t) + 8.455 * exp(-5 * t) + 12.3315 * exp(-6 * t) - 20.045 * exp(-5.7 * t) + 0.26),0.9960798545333552,0.584*(0.521*X1 + cos(sin(0.573*X2)))*sin(sin(0.547*X2)) - 0.264,0.0147170990195979,18
2 * Cain / (1 + exp(-5.7 * t)),0.999993227243778,1.99947*X1 + 0.002 - 1.095*exp(-3.396*X2) + 0.299753627155762*exp(-2.551*X2)/X1,0.0055375669090846,19
Cain * (4.1104 * exp(-6 * t) + 0.2163 - 4.3267 * exp(-5.7 * t)),0.9999379239249644,(0.216189*X1 - 0.000314*X2)*exp(-exp(-0.958*X2*exp(exp(0.318*X2)))),0.0016877962861693,19
Cain * (-8.455 * exp(-5 * t) - 16.442 * exp(-6 * t) + 24.724 * exp(-5.7 * t) + 0.173),0.9995025152219684,0.184224*X1 - 0.024824179077055*X1/(X2**2*cos(0.458*X2)),0.0042567204543171,19
